Date,Meal,Calories,Fat (g),Saturated Fat,Polyunsaturated Fat,Monounsaturated Fat,Trans Fat,Cholesterol,Sodium (mg),Potassium,Carbohydrates (g),Fiber,Sugar,Protein (g),Vitamin A,Vitamin C,Calcium,Iron
2016-10-19,Lunch,414.0,1.4,0.1,0.1,0.0,0.0,50.0,1638.3,227.0,74.1,11.6,29.0,29.1,18.5,14.3,2.5,24.8
2016-10-19,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-19,Snacks,672.0,19.5,5.5,4.5,7.0,0.0,65.0,1010.0,0.0,49.0,7.7,18.7,74.3,194.0,4.0,28.0,18.0
2016-10-20,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-20,Lunch,414.0,1.4,0.1,0.1,0.0,0.0,50.0,1638.3,227.0,74.1,11.6,29.0,29.1,18.5,14.3,2.5,24.8
2016-10-20,Dinner,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-20,Snacks,638.0,5.0,1.0,0.0,0.0,0.0,79.0,519.0,0.0,80.0,5.7,10.7,62.3,191.0,4.0,23.0,31.0
2016-10-21,Breakfast,420.7,9.4,4.2,0.0,0.1,0.0,43.5,282.0,232.3,62.7,3.0,2.7,15.0,5.2,0.0,7.3,23.3
2016-10-21,Lunch,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-21,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-21,Snacks,1555.0,2.0,1.0,0.0,0.0,0.0,60.0,260.0,0.0,22.3,0.0,2.0,48.0,0.0,0.0,16.0,4.0
2016-10-22,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-22,Lunch,915.0,27.3,6.0,0.0,0.0,0.0,240.0,1812.5,0.0,101.0,10.5,27.5,66.5,0.0,0.0,0.0,0.0
2016-10-22,Dinner,1460.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-22,Snacks,1400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-23,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-23,Lunch,900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-23,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-23,Snacks,1000.0,37.0,10.0,9.0,14.0,0.0,70.0,1640.0,0.0,68.0,10.0,22.0,98.0,8.0,0.0,36.0,24.0
2016-10-25,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-25,Lunch,679.0,2.4,0.1,0.1,0.0,0.0,75.0,2677.0,227.0,118.3,19.1,35.6,47.6,71.0,33.0,7.0,52.0
2016-10-25,Dinner,1520.0,70.0,18.0,18.0,28.0,0.0,20.0,2760.0,0.0,124.0,20.0,40.0,100.0,16.0,0.0,40.0,40.0
2016-10-25,Snacks,2224.0,25.5,10.9,2.3,3.5,0.0,140.0,1940.0,0.0,73.5,7.4,47.4,147.1,392.0,8.0,63.0,18.0
2016-10-27,Breakfast,4.7,0.1,0.0,0.0,0.1,0.0,0.0,9.5,232.3,0.0,0.0,0.0,0.6,0.0,0.0,0.9,0.3
2016-10-27,Lunch,1000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-27,Dinner,760.0,35.0,9.0,9.0,14.0,0.0,10.0,1380.0,0.0,62.0,10.0,20.0,50.0,8.0,0.0,20.0,20.0
2016-10-27,Snacks,1240.0,4.0,2.0,0.0,0.0,0.0,120.0,520.0,0.0,12.0,0.0,4.0,96.0,0.0,0.0,32.0,8.0
2016-10-28,Breakfast,420.7,9.4,4.2,0.0,0.1,0.0,43.5,282.0,232.3,62.7,3.0,2.7,15.0,5.2,0.0,7.3,23.3
2016-10-28,Lunch,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,Dinner,400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2016-10-28,Snacks,1730.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0,192.0,147.4,0.0,0.0,3.0,0.0,0.0,2.0,0.0
